course_title,course_difficulty,course_category
Business Writing,Beginner,General Technology
Business and Financial Modeling,Beginner,General Technology
C for Everyone: Programming Fundamentals,Beginner,General Technology
C# Programming for Unity Game Development,Beginner,General Technology
COVID-19 Contact Tracing,Beginner,General Technology
COVID-19: What You Need to Know (CME Eligible),Beginner,General Technology
"Cameras, Exposure, and Photography",Mixed,General Technology
Camino a la Excelencia en Gestión de Proyectos,Beginner,General Technology
"Capstone: Retrieving, Processing, and Visualizing Data with Python",Mixed,Data Science
Career Success,Beginner,General Technology
Challenging Forensic Science: How Science Should Speak to Court,Beginner,General Technology
Chemicals and Health,Beginner,General Technology
Chicken Behaviour and Welfare,Mixed,General Technology
Child Nutrition and Cooking,Beginner,General Technology
Chinese for HSK 1,Beginner,General Technology
Cisco Networking Basics,Beginner,General Technology
Classical Sociological Theory,Mixed,General Technology
Claves de la Dirección de Empresas,Beginner,General Technology
Climate Change and Health: From Science to Action,Beginner,General Technology
Clinical Terminology for International and U.S. Students,Beginner,General Technology
Cloud Computing,Intermediate,General Technology
Cloud Computing Basics (Cloud 101),Beginner,General Technology
Cloud Engineering with Google Cloud,Intermediate,General Technology
Coaching Skills for Managers,Intermediate,General Technology
Code Yourself! An Introduction to Programming,Beginner,General Technology
Communication Skills for Engineers,Beginner,General Technology
Communication Strategies for a Virtual Age,Beginner,General Technology
Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,Beginner,General Technology
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Beginner,General Technology
Competitive Strategy and Organization Design,Intermediate,General Technology
Computational Social Science,Beginner,General Technology
Computational Thinking for Problem Solving,Beginner,General Technology
Computer Security and Systems Management,Beginner,General Technology
Conflict Management,Beginner,General Technology
Construction Cost Estimating and Cost Control,Beginner,General Technology
Construction Management,Beginner,General Technology
Construction Project Management,Beginner,General Technology
Construction Scheduling,Beginner,General Technology
Contabilidad para no contadores,Beginner,General Technology
Content Strategy for Professionals,Beginner,General Technology
Continuous Delivery & DevOps,Beginner,General Technology
Control of Mobile Robots,Mixed,General Technology
